22:43:00: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 45] Logger initialized
22:43:00: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:00: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:03: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:04: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:04: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:05: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:05: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:06: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:06: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:07: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:07: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:08: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:08: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:09: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:09: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:10: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:10: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:11: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:11: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:12: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:12: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:13: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:13: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:14: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:14: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:15: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
22:43:18: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/mock_drones/command_drone.py | main | 83] Passed!
