22:43:00: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
22:43:00: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | main | 134] Connected!
22:43:00: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGE_ALTITUDE: 1
22:43:00: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGE_ALTITUDE: -1
22:43:03: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: 63.43494882292201
22:43:04: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: 90.0
22:43:04: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: 116.56505117707799
22:43:05: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: 45.0
22:43:05: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: 63.43494882292201
22:43:06: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: 90.0
22:43:06: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: 26.565051177077994
22:43:07: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: 45.0
22:43:07: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: 90.0
22:43:08: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: 45.0
22:43:08: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: 90.0
22:43:09: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: 135.0
22:43:09: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: -26.565051177077994
22:43:10: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: -45.0
22:43:10: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: -90.0
22:43:11: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: -45.0
22:43:11: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: -90.0
22:43:12: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: -135.0
22:43:12: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: -63.43494882292201
22:43:13: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: -90.0
22:43:13: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: -116.56505117707799
22:43:14: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: -45.0
22:43:14: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: -63.43494882292201
22:43:15: [INFO] [/home/ryan/Downloads/autonomy-bootcamp-2025-p2_ryan/tests/integration/test_command.py | read_queue | 79] CHANGING_YAW: -90.0
